:START_ID(Product),:END_ID(Color)
a834f1e4-e6e3-4107-b3c7-51ab5734d26b,Đỏ
tiki_273239856,Đen
tiki_189572199,Xám
tiki_158583221,Xám
tiki_158583026,Xám
tiki_278630285,Đen
tiki_278630241,Xanh
tiki_248928122,Đen
tiki_199752718,Đen
tiki_278922549,Đen
tiki_277271440,Đen
tiki_275933792,Đen
tiki_275905374,Đen
tiki_275579517,Trắng
tiki_275276374,Xanh
tiki_272435490,Đen
tiki_272422969,Đen
tiki_271307623,Trắng
tiki_178475948,Đen
tiki_130398472,Đen
P0025,Trắng
P0026,Trắng
P0032,Trắng
P0041,Trắng
P0049,Trắng
P0058,Trắng
P0067,Trắng
